제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
온라인에서도 놀자! 허쌤의 비접촉놀이,10차시,2023-12-17,5,온라인에서도 놀자! 허쌤의 비접촉놀이,다양한 놀이 방법을 알게 된 좋은 연수~,학습지도,"30,000원",유초등,1
"[자율연수] 탤짱쌤의 컴퓨터 활용 꼼수, 이 정도면 나도 스마트",7차시,2024-01-23,5,잘들었습니다~,컴퓨터를 활용하는데 도움이 되었습니다. 감사합니다,ICT,무료,전체대상,1
조병영의 문해력 수업,30차시,2024-06-04,3,잘 들었습니다. ,전반적인 문해력에 대해 짚어주는 강의였습니다.,학습지도,"75,000원",전체대상,0
"장애공감교육, 달라도 괜찮아",5차시,2023-12-17,5,장애인식교육에 큰 도움이 됩니다.,"모든 선생님들에게 꼭 추천드립니다_x000D_
저에게 큰 도움이 되었습니다._x000D_
만족합니다. 이 배움을 바탕으로 학생을 잘 지도하겠습니다._x000D_
감사합니다.",생활지도,"15,000원",전체대상,1
"엑셀의 신, 학교에서 쓰는 쉬운 엑셀",30차시,2024-01-23,5,엑셀의 신에 도전,엑셀의 신에 도전하고 싶은 마음에 신청했습니다. 엑셀을 알면 업무 효율이 몇십배 몇백배 늘어나는 것 같습니다. 활용성 높은 기능을 알려주셔서 도움이 많이 되었습니다. 감사합니다.,ICT,"75,000원",전체대상,1
설민석의 한국사능력검정시험[심화],60차시,2024-05-28,5,한국사능력검정,연수시험이 너무 어렵습니다. 혹시 연수성적 필요하시면 다시 생각해보세요.,학습지도,"130,000원",전체대상,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2024-02-05,5,유익한 연수,"유튜브를 통해 홈트로 요가를 따라 하게 되는데, 바른 자세나 용어를 모른체 따라했던 것을 이 연수를 통해 바른 자세를 익히게 되고 동작에 따른 용어를 알게 되어 유익했습니다. 배운대로 열심히 운동을 해야겠습니다.",자기계발,"40,000원",전체대상,1
"Made at Home, 나만의 작은 홈카페 & 홈베이킹",15차시,2023-12-28,5,홈카페에 관심이 있다면?!,"평소 홈카페에 관심이 많은데, 집에서 카페를 즐기고 싶으신 분이라면 추천드립니다.",자기계발,"40,000원",전체대상,1
가르침에 지친 당신을 위한 방구석 인문학,30차시,2024-04-12,4,다양한 시선으로 나의 삶 바라보기 ,"문학적인 면, 예술적인 면 그리고 철학자의 시선과 이론으로 나의 삶을 여러가지 방향으로 바라볼 수 있는 기회였습니다. 내용은 저는 다소 어려웠습니다.",자기계발,"75,000원",전체대상,0
교사를 위한 15가지 마음 공부,15차시,2024-02-13,5,심리학으로 배우는 학교생활의 지혜,"심리학이라는 주제가 참 흥미로워서 여러가지 책들을 읽어보았었는데요._x000D_
이것들을 실생활과 학교생활에 어떻게 적용해야 할 지는 언제나 막막했었습니다._x000D_
하지만, 이 연수를 듣고 나니 그동안 지식으로만 존재했던 심리학 관련 상식들이 삶의 지혜로 자리잡아 내 삶을 좀 더 편안하게 만들어주는 느낌입니다._x000D_
동료 선생님들과의 관계, 학교생활을 더욱 유연하게 잘 해나갈 수 있을 것 같아요._x000D_
_x000D_
학생들을 지도할 때도 심리학을 활용할 수 있으면 더 좋을 것 같단 생각도 듭니다!_x000D_
_x000D_
유익한 연수를 통해, 영감을 얻어갑니다. 감사합니다!!",생활지도,"50,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-05-16,5,IB교육에 대해 관심이 생겼어요,"학생들의 생각을 꺼내 잘 다듬고 소통하는 방안을 고민하던 중_x000D_
IB 교육을 잘 모르는 상황에서 연수를 듣게 되었습니다._x000D_
연수를 듣고 IB에 관심이 생겼고 초등 수업 및 교육과정에 적용해 보고 싶습니다. _x000D_
좀더 전문적인 과정의 연수가 생긴다면 참여해 보고 싶습니다.",학습지도,"50,000원",전체대상,1
학습격차를 줄이기 위한 슬기로운 수업방안,15차시,2023-12-26,5,현저하게 성적이 떨어지는 학생을 위한,"비교적 고른 성적 분포를 보이는 학급에서 유독 두 명이 성적이 너무 낮았습니다. 수업 시간 나름 개별 과제 및 지도를 한다고 하였는데, 큰 변화를 보지는 못하였구요. 해당 연수를 통해 지도하던 방법을 점검해 볼 수 있었고, 참고할 수 있는 내용들도 제법 있었습니다. 유익한 연수였습니다.",학습지도,"40,000원",중등,1
"엑셀의 신, 학교에서 쓰는 쉬운 엑셀",30차시,2024-05-20,5,꼭 필요한 연수,꼭 필요한 연수 쉽게 잘 배웠습니다. 감사합니다.,ICT,"75,000원",전체대상,1
"[자율연수] 탤짱쌤의 컴퓨터 활용 꼼수, 이 정도면 나도 스마트",7차시,2023-12-21,5,맞춤 연수,좋은 내용 연수에 감사드립니다.,ICT,무료,전체대상,1
"우리 반 마음 탐구, 교실 심리학",30차시,2023-12-17,5,아주 좋아요.,학급에서 아이들을 대상으로 생각하면서 들으면 효과적입니다. ,생활지도,"85,000원",유초등,1
어쩌다 바다 건너 유럽 미술에 빠지는 순간,30차시,2024-01-17,5,힐링 미술 여행 ~~ ,도슨트의 설명을 들으며 미술 작품을 볼 때 그동안 알지 못했던 예술의 세계로 들어서는 느낌이 든다. 작가가 표현하려고 했던 점들을 좀 더 섬세하게 살펴볼 수 있어서 매 강의마다 즐겁고 뿌듯한 감정이 든다. ,자기계발,"85,000원",전체대상,1
성인도 말문이 터지는 엄마표 영어의 모든 것,15차시,2024-02-29,5,엄마표 영어를 하려면 반드시 들으세욧~~,"엄마표 영어에서의 핵심이 무엇인지에 대해 쏙쏙 가르쳐주는 강의, 추천합니다!",자기계발,"40,000원",전체대상,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2023-12-15,4,수양,해도 해도 계속 생겨나는 업무에  마우스 내려두고 간만에 펜을 잡고 힐링합니다. 정신 수양에 도움 됩니다.,자기계발,"40,000원",전체대상,0
양수쌤의 한 방에 끝나는 놀이체육,30차시,2024-01-14,5,아이들이 너무 너무 좋아할 것 같아요,"소규모와 대규모 학급의 체육수업에 다양하게 활용할 수 있는 놀이체육을 통해서 학생들의 체육에 더욱더 열심히 참여할 수 있는 기회를 제공할 수 있을 것 같아서_x000D_
추천드립니다.",교과지도,"75,000원",전체대상,1
말로 통하는 슬기로운 교사 생활,30차시,2024-05-27,4,학교생활에서 도움이 되는 내용 많네요,"다만 21번째 강의에서 '문제행동을 하는 학생을 잠시 특별실(상담실이나 보건실)로 보낸다' 라고 하셨는데요. 요즘 학생들은 일부러 수업 시간에 특별실을 찾을 만큼 특별실 핑계로 수업을 늦거나 재미로 자주 찾는 학생들이 많습니다. 그래서 격리장소로 특별실을 이용했을 경우 강화가 되어 더 자주 문제행동을 하는 경우가 많더라구요._x000D_
",자기계발,"75,000원",유초등,0
HOLA! 스페인어 첫걸음 - 기초완성,15차시,2024-01-25,5,유익한 스페인어 강좌,스페인어 발음 기초부터 스페인어권 지역을 여행할 때 실전에 사용할 수 있는 문장을 익혀주는 유용한 연수입니다. 바로 사용할 수 있는 스페인어를 공부하시고 싶은 분에게 강추합니다.,어학,"40,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-06-09,5,교육의 변화가 시급한 때,"교사를 변화의 주체로 _x000D_
평가를 핵심 변화로_x000D_
당면한 미래를 준비하는 _x000D_
연수라고 생각해요.",학습지도,"50,000원",전체대상,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2024-01-19,5,쉬운 MBTI 연수,구체적인 상황을 들어 자세하게 설명해 주어서 유익했습니다. ,자기계발,"40,000원",전체대상,1
아는 만큼 즐기는 올 댓 와인,15차시,2024-05-03,5,교육과정 설명,"마트에서 권하는 와인이 아닌, 설명서를 읽고 고를 수 있는 수준이 되었습니다. 무식함에서 조금 탈출한 느낌입니다. 와인상식 감사합니다.^^",자기계발,"40,000원",전체대상,1
부자 교사의 재테크,15차시,2024-04-25,5,아파트부터 장만하기,"재테크는 사회생활 시작부터 15년이내가 가장 좋다. 이 때에 아파트를 마련할 목적을 가지고 절약, 저축을 하고 대출을 적절히 이용하여 목표를 이룰 것을 강조하고 있다. 정말 사회초년생부터 꼭 들어야할 필요한 강의이다. ",자기계발,"50,000원",전체대상,1
한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,15차시,2024-04-04,5,유익한 연수,미래 AI 관련 교육에 대해 알게되었고 유익한 강의 감사합니다.,학습지도,"40,000원",전체대상,1
학급 관리부터 업무까지 한 방에! 교사를 위한 노션 활용법,15차시,2024-05-20,2,불친절한 강의,"이미 노션을 사용하고 있는 상태에서 좀더 알고 싶어 수강신청했습니다. 그런데.. 이미 노션을 어느 정도 사용할 수 있음에도 불구하고, 강의를 따라가기가 쉽지 않더군요. 강사님과 함께 앱을 활용하여 내용을 만들어 가는 과정을 강의할 때도 혼자 작업하는 것처럼 너무 빠르게 별다른 설명없이 진행이 되었습니다. (내용을 채워넣는 단계에서 빠르게 입력하는 것을 보여주는 경우를 말하는 것이 아닙니다) 계속 강의를 멈추고 어느 것을 눌러야 하는지 찾고 연구해 가며 들은 강의였습니다. _x000D_
좀더 천천히 어느 것을 선택하고 클릭해야 하는지 알려주셔야 배우는 데 도움이 될 것 같습니다.",ICT,"50,000원",전체대상,0
교사를 위한 구글 활용법(입문자편),15차시,2024-04-01,5,똑똑한 교실 만들기,똑똑하고 편한 교실을 만들수있어요,ICT,"40,000원",전체대상,1
지금 바로! 칼림바,15차시,2024-04-18,5,처음 들어보는 악기 연수!,"악기 조율부터 다양한 칼림바 연습 악보들, 그리고 생전 처음 접해본 초보도 쉽게 도전해보고 배울 수 있도록 꼼꼼하게 연습, 지도해주시는 강사님... 다른 악기 연수도 있다면 또 도전해보고 싶습니다. 어떻게 시간이 지나갔는지 모를 정도로 참 재밌게 배웠습니다. 감사합니다.  ",교과지도,"50,000원",전체대상,1
어쩌다 바다 건너 유럽 미술에 빠지는 순간,30차시,2024-02-13,5,아주 좋아요,늘 알고 싶고 가고싶은 미술작품과 유럽 곳곳을 잘 알고 보고 갑니다. 학생들 미술지도에 큰 도움이 되겠어요. 감사합니다.^^,자기계발,"85,000원",전체대상,1
"골프, 초보에서 필드까지",30차시,2024-06-11,5,이론과 실전,실전에 필요한 이론을 무장함,자기계발,"85,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2024-05-21,4,갈수록 궁금해지는 뇌과학,뇌에 관련된 용어들이 잘 익숙해지지는 않았지만 일상 속에서 겪게 되는 일들을 뇌과학의 입장에서 자세히 알려주셔서 도움이 되었어요. ,ICT,"40,000원",전체대상,0
하지현의 감정수업,30차시,2024-02-21,5,정말 강추강추 연수!!!,"학생 정서심리 관련한 연수로 들었지만, 교사인 나도 힐링을 받는 너무 좋은 연수였습니다!_x000D_
주변 선생님들한테 진심으로 적극적극 추천드립니다^^",생활지도,"85,000원",전체대상,1
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",15차시,2024-04-25,5,신규 교사들의 재테크에 도움이 많이 될 듯 합니다. ,다음에는 퇴직을 앞두고 있는 교사들을 대상으로 한  유용한 경제  연수를 부탁드립니다. ,ICT,"40,000원",전체대상,1
법정의무교육 한 번에 이수하기,15차시,2024-02-05,5,유익한 연수,학생들을 지도하면서 꼭 필요한 여러 가지 법정의무교육을 모아 한 번에 연수 받을 수 있어서 아주 편리하고 유익했습니다. 감사합니다.,생활지도,"40,000원",전체대상,1
독서지도사 양성과정 1,30차시,2024-04-28,5,독서지도의 전문가가 될 수 있는 연수,"늘 학생들에게 독서수업 및 글쓰기 지도를 하면서도 뭔가 내 자신이 부족하다는 느낌을 지울 수 없었는데, 이번 연수를 통하여 독서수업 준비를 어떻게 해야할지, 학생들에게 독서습관 및 독후활동을 어떻게 하면 재밌있게 할지, 독서토론 방법 등을 제대로 배울 수 있었던 시간이었던 것 같다.",학습지도,"85,000원",전체대상,1
현아샘의 단단하고 따뜻한 그림책 학급운영,30차시,2024-05-12,4,다양한 그림책 소개가 좋았다.,다양한 그림책을 알게 되고 그림책을 통해 어떻게 학급을 운영하는 것이 좋을지 다방면의 예시를 볼 수 있어서 좋았다. ,학급경영,"75,000원",유초등,0
"생각을 키우는 힘, 파이선 코딩 스쿨",30차시,2024-05-15,5,미래 교육,"다양한 고민을 하다가 수강한 연수였다._x000D_
생소한 용어들이 많지만, 여유를 갖고 차근차근 따라하면 어렵지 않다._x000D_
앞으로 컴퓨터를 중심으로 생활하게 될 아이들._x000D_
그 아이들의 학습 코칭을 위해 나 자신부터 변해야 할 필요가 느껴질 때._x000D_
미래 교육을 준비하기 위해 뭔가 해야겠다는 생각이 들 때_x000D_
들으면 좋은 연수일 것 같다.",ICT,"75,000원",전체대상,1
"엑셀의 신, 학교에서 쓰는 쉬운 엑셀",30차시,2024-01-24,5,유익한 연수!,"학교에서 보직을 맡으면서 수많은 공문을 엑셀로 처리해야할 때가 많은데_x000D_
엑셀의 기능에 대해서 자세히 알 수 있어서 아주 유익한 강의였습니다._x000D_
많이 연습해서 실무에 사용할 수 있도록 노력해야겠습니다.",ICT,"75,000원",전체대상,1
"Made at Home, 나만의 작은 홈카페 & 홈베이킹",15차시,2023-12-20,4,홈카페 홈베이킹 연수 후기,평소 홈카페에 관심이 많아서 카페 음료나 간단한 케익종류를 만들어보고 싶어서 수강하게 되었어요. 강사선생님의 꿀팁과 친절한 설명 차분한 말투로 귀에 쏙 쏙 들어오더라구요 이젠 지인을 초대해 카페 음료를 대접해도 자신이 생겼어요~복잡하지도 않고 간단하면서 맛있는 카페 메뉴를 잘 활용해 봐야겠어요~~,자기계발,"40,000원",전체대상,0
"몰입과 학습을 한 번에, 교실 속 게이미피케이션",15차시,2024-03-09,5,good lessons ,좋은 수업이었습니다. 다양한 게임 활동을 통해서 흥미로운 교실 수업을 해보도로 가겠습니다. ,학습지도,"50,000원",전체대상,1
"기초학력교육, 관계형성이 먼저다.",15차시,2024-04-18,4,다양한 게임을 접하며,이미 알고 있던 게임과 새로 알게 된 게임을 보면서 나도 틈이 날 때 우리 반 학생들과 재미있게 해 봐야겠다는 생각이 드는 연수였어요...,학습지도,"40,000원",유초등,0
생활지도부터 학습지도까지! 1학년 한해살이 완벽 가이드,30차시,2024-03-11,5,1학년 생활 및 학습지도,연수를 통해 1학년 학생들을 어떻게 지도해야 될지 감이 생겼습니다. ,생활지도,"75,000원",유초등,1
한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,15차시,2024-05-15,5,인공지능의 기본에 대해 알 수 있었어요.,"인공지능에 대한 기본 상식과 이론을 알 수 있어 유익한 연수였어요._x000D_
각 분야의 전문가들의 설명이라 더 믿음이 가고 전달력있는 강사분들이라 좋았네요. ",학습지도,"40,000원",전체대상,1
"가장 쉬운 수업도구, 패들렛과 띵커벨",15차시,2024-05-14,5,패들렛 후기,패들렛을 체계적으로 수업에 도입하기 아주 좋은 강의입니다. 옆반 선생님에게도 강추합니다~,ICT,"40,000원",전체대상,1
단단한 내면의 힘을 기르는 지나영의 코어 마인드,15차시,2023-12-19,5,삶을 살아가는 데 있어서 너무 유익한 연수였습니다!,"심리적으로 불안과 우울감이 느껴질 때나 타인으로 상처를 받았을 때 연수 내용을 통해 학습한 마인드트레이닝, 4-2-4 호흡법, I get to용법 등 여러 가지 방법들을 활용하여 긍정적으로 살아갈 수 있는 데 연수 내용들이 많은 도움이 될 것 같습니다. 삶을 살아가면서 외적동기보다 내적동기를 향상시켜줄 수 있는 삶을 살아갈 수 있도록 노력해야 할 것 같습니다.",자기계발,"50,000원",전체대상,1
왕초보도 할 수 있는 실전 여행영어,30차시,2024-01-15,5,여행을 앞두고 단기 속성으로 공부하는데 무척 도움이 되었어요~,여행을 앞두고 단기 속성으로 공부하는데 무척 도움이 되었어요~,어학,"65,000원",전체대상,1
생활지도부터 학습지도까지! 1학년 한해살이 완벽 가이드,30차시,2023-12-22,5,완벽한 1학년 준비,1학년에 적합한 생활 지도와 학습지도 방법까지 내용이 정말 알찹니다. 강추합니다.,생활지도,"75,000원",유초등,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2024-01-10,5,쉬워서 좋아요,"귀에 쏙쏙, 머리에도 쏙쏙~! 믿고 듣는 강사님~!_x000D_
유투브 무료로 듣다가 제대로 들어보니 쉽고 재미있네요._x000D_
 ",자기계발,"40,000원",전체대상,1
한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,15차시,2024-04-08,5,알찬 연수 감사합니다. ,알찬 연수 감사합니다. 덕분에 더욱 성장하는 계기가 되었습니다. 수고하십시오.,학습지도,"40,000원",전체대상,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2024-06-05,5,새로운 여행지의 발견,"세계 여러 나라의 멋진 곳을 알게 되었습니다._x000D_
앞으로 세계 여행을 하는데 큰 도움이 될 것으로 생각됩니다.",자기계발,"40,000원",전체대상,1
알아두면 쓸모있는 교직실무,60차시,2024-03-21,5,실무를 알기 쉽게~,"교직 20년차가 되어서인지 배우는 내용과 실제 했던 경험이 접목되어 알기 쉽게 들었습니다. 연수의 내용과 책의 내용이 같다는 것이 조금은 지루할 수도 있겠지만, 귀로도 들을 수 있어서 좋았어요~_x000D_
많이 배웠던 유익한 연수였습니다 ^^ 감사합니다.",자기계발,"130,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2023-12-23,5,구글 활용 방안에 대해 잘알려주는 연수에요.,구글활용에 대해 어떻게 하면 실제 수업에 적용을 잘 할 수 있을지 알게 되어좋았습니다. 추천드립니다.,ICT,"40,000원",전체대상,1
속이 뻥 뚫리는 교사 상담소,15차시,2024-05-07,5,유익한 연수,교사로서 누구나 한번쯤 생각해 보는 어려움에 대한 도움이 되는 연수입니다.,자기계발,"50,000원",전체대상,1
고전읽기로 1년 학급운영 쉽게 끝내기,30차시,2024-04-12,5,고전이 재미있네요,고전 책도 주셔서 좋고 강의도 재미있었습니다.,학급경영,"85,000원",유초등,1
지나영의 본질육아,30차시,2023-12-21,5,본질,"육아, 학생지도에 도움이 됩니다",자기계발,"85,000원",전체대상,1
수업이 막막할 땐 성공 보장 수업 스킬,30차시,2024-05-13,4,수업에 활용할 만한 좋은 팁들 얻어 갑니다~,"선생님 수업을 보며 진정성 있는 수업에 대한 열의가 생기네요~ _x000D_
그림책을 위주로 알려주셔서 그림책 활용에 자신감이 생깁니다. 그림책 외 다양한 수업의 기술도 궁금하네요~",학습지도,"85,000원",유초등,0
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-05-08,5,IB 교육,집어 넣는 교육이 아닌 꺼내는 교육을 위해 아이들에게 많이 생각하는 시간을 주고 다양한 발상을 할 수 있도록 지도해야겠다.,학습지도,"50,000원",전체대상,1
폭력 교실에 맞서는 용기,30차시,2024-02-03,5,교권 보호 연수를 통해...,"올해 처음으로 인성인권부장을 맡게 되어 많은 걱정이 있었습니다. 점점 힘들어지고 있는 학교 현장에서 잘 대처를 할 수 있을지..._x000D_
그래도 이번 연수 덕분에 많은 걱정을 덜게 되었네요. 앞으로도 이런 좋은 연수 꾸준히 부탁드리겠습니다",생활지도,"75,000원",중등,1
연수로 완성하는 아이스크림 수학 교과서(4학년),15차시,2024-01-05,5,도움이 되는 연수,"연수 내용이 알차고 좋았습니다._x000D_
학생들이 수학 학습에 즐겁게 참여할 수 있는 방법뿐만 아니라 수학개념에 대한 오류를 지도할 수 있는 방법까지 실질적인 지도방법을 생각해 볼 수 있는 시간이었습니다.",교과지도,무료,유초등,1
고도원의 힐링 서재,15차시,2024-01-12,5,편안하고 잔잔한 강의였습니다.,"  고도원작가님의 편안한 목소리로 진행되는 강의에 시간가는 줄 모르고 재미있게 들은 강의입니다._x000D_
유명하신 작가님의 일생을 압축된 내용으로 들여다볼 수 있어서 좋았고, 많은 고난과 역경속에서 어떠한 마음가짐과 자세로 삶에 임하셨는지 또한 느낄 수 있어서 좋았습니다._x000D_
글읽기와 글쓰기를 좋아하는 저로써는 굉장히 많은 도움이 된 강의입니다.",자기계발,"50,000원",전체대상,1
"종이 위에 사각사각, 손글씨 & 다이어리 꾸미기",15차시,2024-01-15,5,추천합니다.,"평소 악필이 컴플렉스 였는데, 이 연수를 통해 어느 정도 교정 연습을 할 수 있어 좋았습니다.",자기계발,"40,000원",전체대상,1
한국어교원양성과정 Ⅲ,30차시,2024-03-19,4,긴 시간이 남긴 것 ,네번째 수업을 듣고 나니 전체적인 윤곽이 잡힙니다. 처음엔 한국인 맞나 자문하기도 했지만 하고 나서 보니 우리가 일상으로 사용하던 언어의 체계적 구조를 이해할 수 있었습니다.,자기계발,"75,000원",전체대상,0
하지현의 감정수업,30차시,2024-03-15,5,하지현 의 감정수업,너무 좋은 강의  멋진 강의,생활지도,"85,000원",전체대상,1
"공간의 재발견, 정리의 힘",15차시,2024-04-16,5,유익한 내용,재미있고 유익한 내용입니다.,자기계발,"40,000원",전체대상,1
수업과 성장을 돕는 과정중심평가_초등 기초,15차시,2024-05-31,5,"수업의 성장과 교사의 성장, 학생의 성장 모두를 돌아보았습니다. ","수업의 성장과 교사의 성장, 학생의 성장 모두를 돌아보았습니다. ",학습지도,"40,000원",유초등,1
수업이 막막할 땐 성공 보장 수업 스킬,30차시,2024-03-29,5,역시 김선생,행복한 김선생 너무 대단하십니다,학습지도,"85,000원",유초등,1
야나두 미국에서 한 달 살기- 현지 토크 편,15차시,2024-05-07,4,상황별 어휘를 알려줘서 좋아요,"지루할 수 있는 영어를 상황에 어울리는 회화로 배우니 재미있네요_x000D_
다만 좀 더 스토리가 있으면 집중하기 좋을 것 같아요",어학,"40,000원",전체대상,0
쏭내관과 함께하는 랜선궁궐기행 종합편,30차시,2023-12-26,4,좋은 역사 강의! 강추입니다!!,"들으면 들을수록 빠져드는 강의입니다._x000D_
역사를 좋아하시는 분은 필수로, 안좋아하시는 분도 재미있게 들을 수 있다고 생각해요._x000D_
중간에 걸리는 렉만 없으면.. 그래서 별 하나 뺐습니다.",학습지도,"75,000원",전체대상,0
연수로 완성하는 아이스크림 과학 교과서(3학년),15차시,2024-02-07,4,"원리를 알기위한 연수도 좋지만,  실험위주의 연수도 만들어주셨으면 좋겠어요~","아이들 과학수업에 필요한 준비를 해주는 교무행정사입니다. _x000D_
주문시에도 좀더 활용적으로 실험할 수 있는것들 선택과 좀더 효율적으로 실험할 수 있도록 준비해주기위해 수업 내용을 알아볼까 하고 들었습니다._x000D_
자세하게 설명해준는 것도 좋지만, 실험 전반적인것을 대략적으로 들을 수 있는 즉, 어떤 실험인지 실험위주의 연수도 있었으면 좋겠습니다.",교과지도,무료,유초등,0
"함께 만드는 어울림, 다문화교육",30차시,2024-05-28,5,다문화 연수 중 최고!,"단순한 다문화 교수학습만이 아니라_x000D_
사회의 변화모습_x000D_
교실 운영방법_x000D_
구체적인 다문화 관련 수업 방법_x000D_
다문화 관련 교구 안내_x000D_
_x000D_
다문화지도 전문성 향상에 큰 도움이 되는 연수입니다._x000D_
_x000D_
관련 연수 중에서 단연 최고의 프로그램인 것 같습니다._x000D_
_x000D_
다문화 관련 연수 찾으시는 분께 추천합니다.",생활지도,"65,000원",전체대상,1
학습격차를 줄이기 위한 슬기로운 수업방안,15차시,2024-01-18,5,좋았어요,유익한 연수였습니다. ,학습지도,"40,000원",중등,1
영어로 세계 속으로 with 테드,30차시,2024-05-21,4,테드 강의,"테드 강의 통해서 여러가지 세계 삶의 모습과 영어에 대해서도 배울 수 있었어요._x000D_
교재가 혹시 따로 있나요? 제공된 교안외에도??_x000D_
수업 영상 로드할때 자꾸 끊어짐이 있어서 아슁웠어요",어학,"85,000원",전체대상,0
법정의무교육 한 번에 이수하기,15차시,2024-03-10,5,세,"전문적이고 유익한 강의 내용: 법정의무교육연수에서 제공되는 강의는 전문가들에 의해 진행되어 있어 매우 유익하고 전문적인 내용이었습니다. 실무 경험이 풍부한 강사들의 통찰력 있는 이론과 사례 공유는 실무에 바로 적용할 수 있는 지식을 얻을 수 있었습니다._x000D_
_x000D_
다양한 사례 연구와 실습 기회: 강의 중에는 다양한 법률 사례 연구와 실습 기회가 제공되어, 이론뿐만 아니라 실제 상황에서의 적용 능력을 향상시킬 수 있었습니다. 이를 통해 책에서 얻은 지식을 현실에 적용하는 방법을 배울 수 있었습니다._x000D_
_x000D_
참여자 간의 활발한 토론과 네트워킹 기회: 교육 기간 동안 참여자들 간의 활발한 토론과 의견 공유가 이뤄졌습니다. 이는 다양한 업무 환경에서 다른 경험을 가진 참가자들로부터 새로운 아이디어를 얻을 수 있는 좋은 기회가 되었습니다._x000D_
_x000D_
실무 적용 가능한 자료 제공: 교육 중에는 현장에서 적용 가능한 다양한 자료와 템플릿이 제공되어, 교육 이후에도 필요한 자료를 손쉽게 활용할 수 있었습니다. 이는 업무에 바로 적용할 수 있는 실질적인 도움이 되었습니다._x000D_
_x000D_
질문과 답변 세션을 통한 직접적인 상담 기회: 강의 중에는 강사들에게 질문을 하고 응답을 받을 수 있는 시간이 충분히 마련되었습니다. 이를 통해 개별적으로 궁금한 사항을 해결하고 실무에 대한 조언을 받을 수 있어, 교육의 만족도가 크게 상승했습니다.",생활지도,"40,000원",전체대상,1
"김영철, 타일러의 진짜 미국식 영어2",30차시,2023-12-13,5,일상생활에 궁금했던것,생활 속에서 사용 할 수 있는 진짜 미국식 영어를 배울 수 있었습니다.,어학,"75,000원",전체대상,1
연수로 완성하는 아이스크림 과학 교과서(4학년),15차시,2024-03-10,5,영리한 연수,"아이스크림 교과서 맞춤 연수라니, 참 영리힌 기획이라고 생각합니다. 덕분에 잘 배웠습니다,  다만 1, 2학기가 나뉜 연수였으면 더 좋았을 것 같습니다. 2학기 부분에선 집중력이 확 떨어지네요.",교과지도,무료,유초등,1
전인구의 주식 기초반,30차시,2024-05-22,4,흥미롭고 재미가 있는 연수,"매우 유익했고, 주변 사람들과의 생활에 적용해보고 싶은 생각이 드네요._x000D_
_x000D_
학생들이나 동료교사들에게도 적용이 되니_x000D_
_x000D_
더욱 더 잘 이해하게 되고 도움이 됩니다. 한 두번은 더 들어야 더 이해가 제대로 될  것 같지만",자기계발,"75,000원",전체대상,0
법정의무교육 한 번에 이수하기,15차시,2024-03-21,5,한번에 해결!,1년내 이수해야하는 의무연수를 한번에 해결했습니다. 너무 좋네요.,생활지도,"40,000원",전체대상,1
[집밥 한 끼] 맛있는 다이어트 + 건강한 밥상,15차시,2023-12-28,3,식단에 관심 있으신 선생님들께,식단에 관심 있으신 선생님들께 추천을 드립니다. 다만 요리 수준이 저와 같이 초급이라면 다소 따라하기 힘들 것 같습니다. 자취생이 할만한 아주 간단한 요리는 아니니 요리에 흥미가 있는 분에게 도움이 될 것 같아요.,자기계발,"40,000원",전체대상,0
하지현의 감정수업,30차시,2023-12-30,5,연수를 통해 많은 위로를 받았습니다.,"몸과 마음이 많이 지쳐있던 시기에, 제 마음을 들여다보고 이해할 수 있게 되었어요. _x000D_
수업을 듣는 내내 힐링이 되었어요. 정말 감사합니다.",생활지도,"85,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-01-18,5,매우 유용,"IB에 대해 알 수 있었고, 더 알고 싶다는 생각을 한 연수였어요!",학습지도,"50,000원",전체대상,1
수업이 막막할 땐 성공 보장 수업 스킬,30차시,2024-01-22,5,지루한 수업 보드게임으로 재미 up!,각 교과별 유용한 정보 뿐만 아니라 보드게임을 수업 시간에 어떻게 활용할 수 있는지 알게 되어 좋았습니다. 평소 게임을 원하는 학생들의 욕구를 충족시켜주지 못해 어려움이 있었는데 이 연수에서 배운 많은 아이디어를 잘 쓸 수 있을 것 같습니다. 감사합니다. ,학습지도,"85,000원",유초등,1
