제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
"나도 재미있는 메이커교육(영상활용과 온, 오프라인 메이커활동)",15차시,2024-05-29,5,관심 있었던 연수,수업시간에 활용해보고 싶은 연수였습니다.,학습지도,"40,000원",전체대상,1
지나영의 본질육아,30차시,2024-05-29,5,재미있게 잘 들었어요!,육아과 교육은 동떨어져있지 않다는 것을 다시한번 깨달은 연수,자기계발,"85,000원",전체대상,1
김성환 선생님과 함께 실천하는 학급긍정훈육법(PDC),30차시,2024-05-29,5,기초학력 디딤돌 세우기,"기초 문해력 교육 연수를 통해 우리 아이들의 기초문해력과 나의 문해력을 함께 생각하는 연수였으며, 시대적으로 봤을 때 우리나라 언어에 대한 문해력을 키우는데 저학년에서 더 힘써야함을 새삼 더 느끼게 된다. 저학년에서 우리 언어보다 외국어에 더 비중을 두는 일이 안타깝다는 생각이 든다. 문해력이 단순한 글자를 읽고 쓰는 것이 아닌데 말이다.",학급경영,"75,000원",유초등,1
어쩌다 바다 건너 유럽 미술에 빠지는 순간,30차시,2024-05-29,5,지적 호기심을 채우다.,예술가들은 천재입니다. 창작이라는 것이 가장 어려운 일 같아요. 천재들의 인생과 그들이 표현하고자 했던 작품의 세계를 이해하기 쉽게 잘 공부하였습니다. 감사합니다. ,자기계발,"85,000원",전체대상,1
단단한 내면의 힘을 기르는 지나영의 코어 마인드,15차시,2024-05-29,5,선 넘는 사람으로부터 나를 지킬 수 있는 용기가 생겼습니다. ,선 넘는 사람으로부터 나를 지킬 수 있는 용기가 생겼습니다. ,자기계발,"50,000원",전체대상,1
몸과 마음을 살리는 치유상담의 비밀,30차시,2024-05-29,5,연수 잘 들었습니다.,교재를 보며 열심히 연수 잘 들었습니다. 학생 상담에 도움이 많이 될 것 같습니다.,생활지도,"65,000원",전체대상,1
"내 삶에 지혜를 더하는 명강사, 명강의 30",30차시,2024-05-29,5,내 삶에 지혜가 더 생겼기를...^^,"여러 강의 들으면서 관심가는 내용에는 좀 더 집중해서, 관심이 덜 가는 내용은 좀 스쳐지라가듯 들은 것 같네요._x000D_
복습을 통해 내 삶에 지혜를 더해보겠습니다.",자기계발,"85,000원",전체대상,1
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",15차시,2024-05-29,5,여행가고 싶어요.,이탈리아 여행을 꿈꾸며 연수 들었어요. 연수에 나온 여러 장소들 방문하고 싶네요. 아는 것만큼 보인다고...좋은 연수였어요.,자기계발,"50,000원",전체대상,1
HOLA! 스페인어 첫걸음 - 기초완성,15차시,2024-05-29,5,"강의는 잘 들었는데, 충분한 복습이 필요하겠네요.",처음 듣는 스페인어 연수라....연수라 재미있게 잘 들었는데 복습 여러 번 해야겠네요. ,어학,"40,000원",전체대상,1
"우리 반 마음 탐구, 교실 심리학",30차시,2024-05-29,5,신선한 느낌,저학년만 하느라 영어를 오랫동안 잊어버리고 있었다가 다시 깨워주는 신선한 느낌이 좋았습니다. 감사합니다. ,생활지도,"85,000원",유초등,1
별보다 빛나는 당신을 위한 슈퍼콘서트,30차시,2024-05-29,5,유익한 연수,처음으로 들어보는 재테크 연수 유익하네요. 주변 선생님들에게 추천하고 싶습니다. ,자기계발,"75,000원",전체대상,1
"김선현의 그림치유, 날지 않는 꿈도 괜찮아",15차시,2024-05-29,5,힐링의 시간이었어요.,"그림을 보며 심리에 대해 생각해 볼 수 있어서 좋았어요._x000D_
다양한 작가의 그림에 흥미가 생겨 찾아보게 되었네요.",자기계발,"50,000원",전체대상,1
이희수 교수의 만화로 보는 세계사,15차시,2024-05-29,5,재미있고 유익한 수업 감사해요,재미있고 유익한 수업 감사해요 앞으로도 잘 부탁해요,교과지도,"40,000원",전체대상,1
연수로 완성하는 아이스크림 과학 교과서(3학년),15차시,2024-05-29,5,재미있고 즐거운 과학 수업,"3학년 과학교과의 전과정을 매우 재미있고 진지하게 배움 받았습니다.ㅎㅎ_x000D_
수업준비하는데 많은 도움이 될 것 같습니다.",교과지도,무료,유초등,1
연수로 완성하는 아이스크림 과학 교과서(4학년),15차시,2024-05-29,5,재미있고 즐거운 과학 수업,"4학년 과학교과의 전과정을 매우 재미있고 진지하게 배움 받았습니다.ㅎㅎ_x000D_
수업준비하는데 많은 도움이 될 것 같습니다.",교과지도,무료,유초등,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2024-05-29,5,다문화 이해,다문화 학생이 다수인 학교에 근무 중인데 많은 도움이 되었습니다.,생활지도,"75,000원",전체대상,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2024-05-28,5,다문화교육 수업 후기,"학교에 있는 다문화 아이들에 대한 이해도를 높이는데 도움이 되었습니다_x000D_
좋은 강의 감사합니다.",생활지도,"75,000원",전체대상,1
초기 문해력 - 기초학력 디딤돌 세우기,15차시,2024-05-28,5,배움에는 끝이 없습니다.,"가르쳐야 할 것을 계속 공부하다 보니_x000D_
처음 가르쳐야 할 것들의 중요성을 깨닫게 되었고_x000D_
그 처음을 함께할 수 있는 준비를 조금이나마 할 수 있는 기회가 되었습니다.",학습지도,"50,000원",유초등,1
"함께 만드는 어울림, 다문화교육",30차시,2024-05-28,5,다문화 연수 중 최고!,"단순한 다문화 교수학습만이 아니라_x000D_
사회의 변화모습_x000D_
교실 운영방법_x000D_
구체적인 다문화 관련 수업 방법_x000D_
다문화 관련 교구 안내_x000D_
_x000D_
다문화지도 전문성 향상에 큰 도움이 되는 연수입니다._x000D_
_x000D_
관련 연수 중에서 단연 최고의 프로그램인 것 같습니다._x000D_
_x000D_
다문화 관련 연수 찾으시는 분께 추천합니다.",생활지도,"65,000원",전체대상,1
영어로 세계 속으로 with 내셔널 지오그래픽,15차시,2024-05-28,5,생생한 영어 활용능력 신장,"내셔널 지오그래픽을 활용한 유익한 연수, 소재가 신선하고 교재 수준이 매우 높으나 수업 내용은 다소 쉬운 편입니다. 가볍에 영어연수를 듣고 싶은신 분들께 적합한 연수인듯 합니다.",어학,"40,000원",전체대상,1
"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",30차시,2024-05-28,5,한국어교원양성과정 Ⅰ,한국어교원양성과정 Ⅰ연수 수강이 쉽지는 않았다.  나에겐 고등 국어 문법을 다시 공부하는 이상의 난이도였던 것 같다. 그렇지만 꼭 듣고 싶었던 연수였던 만큼 유익한 연수여서 뿌듯하다. 좋은 연수가 개설되어 감사합니다.^^,학습지도,"75,000원",전체대상,1
도도한 교사생활,30차시,2024-05-28,5,다시 초심을 찾아,다시 초심을 기억하게 하는 계기가 된 연수과정이였습니다.,생활지도,"75,000원",유초등,1
큰별쌤 최태성의 별★별한국사,30차시,2024-05-28,5,대한민국국민으로서 자긍심을 느껴요~,"대한민국국민으로서 자긍심을 느끼게 해준 유익한 연수였습니다._x000D_
우리 역사에 대해서 잘 알고 있다고 자만했던 저의 교만함과 오만함에 부끄럼을 느꼈습니다._x000D_
이 연수를 계기로 앞으로 우리 역사를 바로 알고 올바른 역사 의식과 국가관을 수립하여 학생들에게 제대로 된 역사 교욱을 실천하는 교사가 되리라 다짐합니다._x000D_
열심히 공부하겠습니다 ~_x000D_
 붂",교과지도,"75,000원",전체대상,1
7대 안전 + 감염병! 한 번에 듣는 학교 안전교육,30차시,2024-05-28,5,안전연수,의무 이수 시간에 딱 맞습니다.,생활지도,"85,000원",전체대상,1
시크릿 플레이리스트 슈퍼콘서트,30차시,2024-05-28,5,시크릿 플레이리스트 슈퍼콘서트,"옛날에 좋아했던 노래들, 힐링되는 음악이야기 너무 좋네요.",자기계발,"85,000원",전체대상,1
설민석의 한국사능력검정시험[심화],60차시,2024-05-28,5,한국사능력검정,연수시험이 너무 어렵습니다. 혹시 연수성적 필요하시면 다시 생각해보세요.,학습지도,"130,000원",전체대상,1
나만의 이미지 가치를 높여주는 퍼스널 컬러 스타일링,15차시,2024-05-28,5,퍼스널컬러,나의 퍼스널컬러를 찾아보는 것이 재미있네요.,자기계발,"40,000원",전체대상,1
수업을 바꾸자! 질문기반학습법,30차시,2024-05-28,4,질문기반학습법,유익한 연수였습니다. 추천합니다.,학습지도,"75,000원",유초등,0
이야기가 있는 유쾌한 클래식,30차시,2024-05-28,5,말 그대로 유쾌한 클래식,오케스트라에 대한 30강을 통해 자세히 알려주심,자기계발,"75,000원",전체대상,1
현아샘의 교실을 살리는 그림책 감정 수업,30차시,2024-05-27,5,그림책 연수 중 최고~~^^,"올해 1학년 담임을 맡으면서 그림책 읽기 활동을 하고 있다. 막연하게 그림책을 읽어주기보다 자연스럽게 교육과정과 연결시켜 보고 싶어서 이 연수를 듣게 되었다. 각 그림책을 통해 알 수 있는 주제들을 다양하게 접근하는 방법을 알 수 있어 좋았다. 다만, 그림책을 좀 더 깊이 있게 나누는 시간이 더 있었으면 하는 아쉬움을 갖게 된다.",학습지도,"85,000원",유초등,1
"힐링여행, 유네스코 세계문화유산을 찾아서",60차시,2024-05-27,5,연수를 통해 세계여행을 한 기분입니다.,"연수를 통해 세계여행을 한 기분입니다._x000D_
걸어서 세계속으로에서 세계문화유산 편을 그대로 연수로 재구성하여, 지루하지 않고, 너무 좋았습니다. 예전에 가봤던 관광명소나 문화유산이 그대로 영상으로 나오는데, 추억을 떠올리며 너무 좋았습니다. 또, 가보지 못한 문화유산은 자세한 소개와 함께, 꼭 한번 가보고 싶은 충동이 일어났습니다. 문제도 비교적 쉬운 편이라 조금만 노력하면 좋은 결과를 얻으실 수 있을 겁니다.",자기계발,"130,000원",전체대상,1
"파워포인트를 활용한 교사의 SMART 직무비법 with 한글, 엑셀",30차시,2024-05-27,5,연수를 통해 세계여행을 한 기분입니다.,"걸어서 세계속으로에서 세계문화유산 편을 그대로 연수로 재구성하여, 지루하지 않고, 너무 좋았습니다._x000D_
예전에 가봤던 관광명소나 문화유산이 그대로 영상으로 나오는데, 추억을 떠올리며 너무 좋았습니다._x000D_
또, 가보지 못한 문화유산은 자세한 소개와 함께, 꼭 한번 가보고 싶은 충동이 일어났습니다._x000D_
문제도 비교적 쉬운 편이라 조금만 노력하면  좋은 결과를 얻으실 수 있을 겁니다.",ICT,"75,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-05-27,5,"생각을 꺼내는 교육, 이제는 IB 시대","IB 교육이 집어 넣는 교육이 아니라_x000D_
학생들의 다양한 능력과 생각을_x000D_
꺼내는 교육이 가능하다는 점이_x000D_
한국 교육에서도 적용이 되면 좋겠다는 간절한 바람이 있습니다._x000D_
_x000D_
비판적이고 창의적인 학습 능력을 키울 수 있는 교육으로 변화하려면 가장 중요한 것은 객관식 평가에 익숙한 한국 교육 시험에서 서술식 평가에 대한 공정함과 학생, 보호자들이 교사의 서술적 평가에 신뢰할 수 있는 시간이 걸릴 거라는 생각이 듭니다._x000D_
_x000D_
성급하게 도입하지 말고 차근차근 IB 교육이 가능할 수 있도록 교사의 IB 교육 연수와 수업 나눔 활동이 활발하게 이루어지면 좋겠습니다. 그리고 서술적 평가에 대한 객관적 신뢰도가 쌓일 수 있는 사회적 분위기 조성도 중요하다고 생각합니다._x000D_
_x000D_
수업연구 외에 학교 현장에서 이루어지는 다양한 공문 및 업무 등에서 교사들이 자유로울 수 있도록 수업 외의 업무에 대한 행정적 제도가 절실하게 필요합니다._x000D_
",학습지도,"50,000원",전체대상,1
속이 뻥 뚫리는 교사 상담소,15차시,2024-05-27,5,시원하고 재미있는 상담소,"끄덕끄덕하기도 하고, 예상을 벗어난 상담 내용에 빵 터지기도 하면서 즐겁게 들었습니다. 저에게 닥친 문제 외에도 교사 생활을 하면서 지나오기도 하고 앞으로 맞닥뜨릴 수도 있는 문제들에 대해서 무겁지 않게 바라볼 수 있었던 연수였습니다. 제 문제도 조금 가벼워졌습니다. 당연히 고민에 정답을 알려주는 연수는 아니고(해답을 줄 수도 없고) 문제를 바라보는 관점을 여러 시간에 걸쳐 켜켜이 쌓아주시는 연수였습니다. 두 분 선생님께 감사를 드립니다. (책도 재미있게 읽었는데 연수를 들으니 책 내용이 더 생생합니다.^^)",자기계발,"50,000원",전체대상,1
학급 관리부터 업무까지 한 방에! 교사를 위한 노션 활용법,15차시,2024-05-27,5,궁금했던 노션의 고급 기능과 시스템 구성 방법을 배울 수 있었어요. 그런데 강의 순서가...,"노션으로 나름 단순한 형식의 업무일지를 기록하는 정도의 초보적인 기능으로만 사용하고 있었습니다. _x000D_
개인적으로는 노션을 학교 교육활동과 연계하여 활용할 수 있는 다양한 사례 익히기와 노션의 고급기능 활용 방법 익히기에 대한 개인적 욕구가 있어서 이번 연수를 신청, 이수하였습니다._x000D_
_x000D_
결론적으로,_x000D_
그간 궁금해하고 어려워했던 부분들을 이번 연수로 해소할 수 있어서_x000D_
저는 개인적으로 좋았습니다._x000D_
_x000D_
1. 다소 시간을 들이긴 했지만 초보 사용자에서 중급 이상의 사용자로 나아가기 위한 이해가 어려웠던 몇 가지 기능들을 익힐 수 있었다. 특히 관계형, 롤업, DB의 템플릿 중심 기능을 익힐 수 있어서 좋았습니다._x000D_
_x000D_
2. 실습 내용을 따라하면서 일상 생활이나 업무, 학급 관리에 사용할 수 있을만한 템플릿을 구성할 수 있었습니다._x000D_
_x000D_
3. (가장 좋은 점) 노션을 이용하여 시스템을 구성하기 위한 방법과 그 구성 과정을 그래도 체계적 이해하는 계기가 되었습니다._x000D_
   (노션 시스템의 설계 프로세스를 설명 듣고 경험하는 내용 - 특히 9강 - 을 학습하고 나서는 '어떻게하면 나만의 새로운 시스템을 구성할 수 있지?' 하는 고민에 대한 해결 단서를 찾을 수 있었습니다. - 저 개인적으로는)_x000D_
_x000D_
연수 수강을 고려하시는 분들이라면, _x000D_
특히나 저처럼 노션 초보 사용자라면..._x000D_
강의 순서를 다음과 같이 진행하시길 권장합니다. (저도 다 수강하고 나서 전체적으로 다시 보니 아래 순서로 강의를 수강하면 더 좋았겠다는 생각을 해서...)_x000D_
_x000D_
시작: 1~2강 => 9~14강, 15강 => 3강~8강 _x000D_
_x000D_
순으로 수강하시는 것을 추천합니다._x000D_
_x000D_
3강~8강은 교육적 활용 부분인데,_x000D_
이를 위한 DB를 구성하고 편집하는 중간 과정이 많이 생략되어 있어서 _x000D_
초보자인 저는 강의 내용 따라가기가 어려웠습니다._x000D_
_x000D_
그런데 그 생략된 부분에 대한 설명이 9강부터 필요한 시점에 요소요소에 설명이 되어 있었습니다. 그 내용을 듣고 나니 '아하~'하는 생각이 들었습니다._x000D_
_x000D_
그리고 15강은 필요에 따라 중간에 수강하시든, 아니면 맨 마지막에 수강하시든 해도 좋겠습니다._x000D_
_x000D_
IT업계 분들의 특징 상 마우스의 빈번한 움직임이 있습니다._x000D_
다소 수강자들을(적어도 저는) 긴장하게 하는 요소이긴 합니다.",ICT,"50,000원",전체대상,1
양수쌤의 한 방에 끝나는 놀이체육,30차시,2024-05-27,5,놀이 체육," 체육활동을 위해 한 번쯤 들어보셨을 만한 이름 김, 양, 수 선생님~_x000D_
이분 모르면 간첩(?)일 정도이지요...ㅎ_x000D_
_x000D_
저, 중, 고학년 놀이체육에 선도주자이신 선생님의 연수를 보면서 따라도 해보고 응용도 해보니 인기 만점, 학생을 이해하는 좋은 선생님이 되있었습니다._x000D_
_x000D_
체육 어려워하지 마시고 선생님의 연수를 따라가면 체육의 달인은 아니지만..달인의 제자 1정도는 할 수 있을 것 같습니다.._x000D_
_x000D_
이 자리를 빌어 좋은 연수 감사드립니다.",교과지도,"75,000원",전체대상,1
여행과 문화로 배우는 맛있는 스쿨 - 일본어 편,15차시,2024-05-27,5,쉬운 일본어를 재밌게 학습했습니다.,부담없이 배울 수 있는 내용이라 즐겁게 학습한 것 같습니다. ,어학,"40,000원",전체대상,1
시크릿 플레이리스트 슈퍼콘서트,30차시,2024-05-27,5,연수인데 힐링되는...,"연수를 받으면서도 힐링되는 시간이었습니다_x000D_
좋은 연수 감사합니다",자기계발,"85,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-05-27,5,새로운 수업의 준비를 위해,새로운 교육과정에 대비하고 수업과 평가의 변화를 준비하기에 유익한 강의였습니다,학습지도,"50,000원",전체대상,1
이보영의 바로 떠나는 왕초보 여행영어,30차시,2024-05-27,5,힘든 시기에 위로가 되는 연수,금쪽이반의 담임교사로서 잠깐의 쉼이 된 연수~ 많은 도움이 되었습니다~,어학,"75,000원",전체대상,1
"김영철, 타일러의 진짜 미국식 영어2",30차시,2024-05-27,5,굿,실생활에 사용되는 표현을 쉽게 잘 알려줍니다. ,어학,"75,000원",전체대상,1
"내 삶에 지혜를 더하는 명강사, 명강의 30",30차시,2024-05-27,5,내 인생에 도움이 되는 좋은 말들이 많아요.,다양한 사회 분야의 명강사들의 이야기를 들으면서 내 삶에 대해 돌아 보는 계기가 되는 시간을 가졌어요. ,자기계발,"85,000원",전체대상,1
[집밥 한 끼] 맛있는 다이어트 + 건강한 밥상,15차시,2024-05-27,5,건강한 몸으로 학교 생활해요.,"워킹 맘으로 매일 반찬 고민이 많았는데, 몸에 좋은 다양한 레시피들이 많아서 참 좋았어요. _x000D_
가벼운 도마도 유용하게 잘 사용하고 있어요.",자기계발,"40,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2024-05-27,5,업무와 수업에 활용이 좋아요.,"무료로 구글을 사용할 수 있는 기능들이 참 많더라구요.._x000D_
아이들과 수업 시간에 활용하기도 좋고, 업무 처리에도 편하게 사용할 수 있는 것들이 있어요. _x000D_
연수 후 구글 기능들을 유용하게 잘 활용 하고 있어요.",ICT,"40,000원",전체대상,1
선생님을 위한 자산관리 '3원칙 7단계' 핵심 노하우,15차시,2024-05-27,5,유익한 연수였어요~,실제 현장에서 참고할 수 있는 유익한 연수였어요.,자기계발,"40,000원",전체대상,1
나는 해외로 출근한다! 해외에서 교사로 살아남기,15차시,2024-05-27,5,어디에도 들을 수 없었던 생생한 정보로 많은 도움이 되었어요!,재외국한국학교에 대해 관심은 많았으나 실제 경험한 사람들을 만나보기 어려웠는데 연수과정에 잘나타나있고 다양한 나라들에 대한 정보를 많이 주셔서 정말 도움이 됩니다.,자기계발,"50,000원",전체대상,1
말로 통하는 슬기로운 교사 생활,30차시,2024-05-27,4,학교생활에서 도움이 되는 내용 많네요,"다만 21번째 강의에서 '문제행동을 하는 학생을 잠시 특별실(상담실이나 보건실)로 보낸다' 라고 하셨는데요. 요즘 학생들은 일부러 수업 시간에 특별실을 찾을 만큼 특별실 핑계로 수업을 늦거나 재미로 자주 찾는 학생들이 많습니다. 그래서 격리장소로 특별실을 이용했을 경우 강화가 되어 더 자주 문제행동을 하는 경우가 많더라구요._x000D_
",자기계발,"75,000원",유초등,0
"기초학력교육, 관계형성이 먼저다.",15차시,2024-05-27,5,만족스런 컨텐츠입니다.,꼭 필요한 안전연수입니다. 감사합니다.,학습지도,"40,000원",유초등,1
수업에 바로 써먹는 문해력 도구,15차시,2024-05-27,5,"조금 어려운 부분도 있지만,","초등에서 적용하기에 조금 어려운 부분도 있지만 국어, 사회 수업 등과 연계해서 활용할 수 있는 부분들이 있습니다. 잘 들었습니다. ",학습지도,"50,000원",전체대상,1
"오늘의 일상을 특별하게, 오일파스텔",15차시,2024-05-27,5,오일파스텔과 행복한 만남,부드러운 질감의 오일파스텔은 쓱쓱 칠하고 돌돌 말아 블렌딩해가며 또 다른 기쁨을 줍니다. 좋은 시간을 갖게 되어 배움이 행복했습니다.  ,자기계발,"40,000원",전체대상,1
[집밥 한 끼] 맛있는 다이어트 + 건강한 밥상,15차시,2024-05-27,5,굳굳,재밌고 맛있넹요!!,자기계발,"40,000원",전체대상,1
교사를 위한 내 월급 사용설명서,30차시,2024-05-27,4,내용이 애매한 것 같아요..,  금전 감각이 조금 무딘 선생님들께서 보신다면 절약에 대한 경각심을 가질 수 있는 연수라고 생각됩니다. 하지만 30차시의 짧지 않은 연수 중에서 정말 적용할 수 있겠다고 느껴지는 강의는 몇 강의 없는 것 같아서 조금 아쉽습니다. ,자기계발,"75,000원",전체대상,0
부자 교사의 재테크,15차시,2024-05-27,5,사회 초년생 선생님들에게 적극 추천합니다.,"  주식과 아파트, 연금 등 재테크를 위한 다양한 영역에 대한 이야기를 다루고 있습니다. 사회 초년생 선생님들께서 연수를 들으신다면 각 영역에 대한 대략적인 개념과 정리를 가지고 사회에 발을 디딜 수 있을 것으로 기대됩니다._x000D_
 ",자기계발,"50,000원",전체대상,1
생각을 코딩하다! 소프트웨어교실,30차시,2024-05-27,5,잘 들었습니다.,초등  수업에 적용시킬 내용들이 주를 이룹니다. 중등 수업과는 약간 거리가 있어보여요,ICT,"65,000원",유초등,1
이야기가 있는 유쾌한 클래식,30차시,2024-05-27,5,"음악, 클래식을 알다.","음악, 클래식에 대해 알아보고 우리에게 친숙한 음악과 설명, 해석을 통하여 이해하고 들을 수 있어서 좋습니다.",자기계발,"75,000원",전체대상,1
"마음을 이어주는 마법, 타로 이야기",30차시,2024-05-27,5,유익한 연수 였어요.,"평소 타로에 대해 관심이 있어 연수를 신청하게 되었습니다._x000D_
강사님 설명이 무척 상세하고 자세해서 많은 도움이 되었습니다._x000D_
타로에 대해 실제 어떻게 카드를 뽑아서 운영하는지에 대한_x000D_
상세한 연수도 있었으면 좋겠습니다._x000D_
연수 잘 들었습니다~",자기계발,"75,000원",전체대상,1
"상식+, 영어로 스마트하게 말하기",30차시,2024-05-27,5,뉴스 보기가 쉬워졌어요.,뉴스나 기사에 나오는 영어들이 이 연수를 듣고 나니 쉬워졌어요,어학,"75,000원",전체대상,1
7대 안전 + 감염병! 한 번에 듣는 학교 안전교육,30차시,2024-05-27,5,안전 다 잡기! ,"필수로 들어야하는 안전교육이라 연수를 듣기 시작했지만,_x000D_
평소 놓치고 있었던 부분에 대해서도 자세히 짚고 넘어갈 수 있어_x000D_
아주 유익한 연수였습니다! ",생활지도,"85,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-05-26,5,IB가 궁금하고 관심이 있다면 꼭 들어보세요!,"평소에 IB가 궁금하고 관심이 있었지만, 어떤 것인지 잘 알지 못했던 선생님들께서는 꼭 한 번 들어보시기 바랍니다! 매우 자세하고 명료한 설명으로 IB에 대해 누군가 물어본다면 대답해줄 수 있을 정도로 얻을 수 있는 정보가 많은 연수입니다^^*",학습지도,"50,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-05-26,5,궁금증 해결해 준 연수,미래교육과 더불어 떠오르는 IB프로그램에 대해 전반적인 내용을 알아 볼 수 있는 연수였습니다. 이 연수를 통해 IB프로그램 도입부터 현재까지 진행 과정을 쉽게 이해할 수 있었고 알찬 시간이었습니다. 공교육에 잘 정착되었으면 하는 바램입니다.  ,학습지도,"50,000원",전체대상,1
소설 파친코와 썬킴의 한국근현대사,15차시,2024-05-26,5,한국근현대사 이해,"파친코 책을 우연히 도서관에서 빌려 재미있게? 읽었는데, 연수에 파친코라는 말이 들어가서 눈에 번쩍 띄었고, 스토리텔러의 입담이 너무 좋아서  퇴근후 집에 와서 연수를 한 차시 들을 때마다 다음 차시가 궁금하여 단숨에 다 듣게 되었다. 그리고 주변 사람들에게 들어보라고 추천 강추. 수업에서 때로는 이렇게 스토리텔러처럼 수업을 해보는 것도 추천!!! ",교과지도,"50,000원",전체대상,1
비접촉 놀이로 행복 가득 기분 좋은 교실,15차시,2024-05-25,5,간단하게 사용할 수 있는 놀이들이 많아요.,"별 기대 없이 신청해서 연수를 들었는데, 최근 몇 년 동안 받은 연수들 중 가장 재미있는 연수였습니다. 특별한 준비물 없이 몸으로 진행할 수 있는 놀이도 많았고, 간단한 준비물로 아이들과 함께 웃으며  즐길 수 있는 놀이들도 있어서 며칠 만에 금방 다 들어버렸어요.ㅎ 요즘 들어 아이들과 쉽게 교감하고 좋은 관계를 형성할 수 있는 방법들 중의 하나가 놀이라는 생각을 많이 하게 되어서 듣게 된 연수가 이렇게까지 유용할 줄 몰랐는데 너무 좋습니다. ^^",학급경영,"40,000원",유초등,1
꼬리에 꼬리를 무는 교권이야기,30차시,2024-05-24,5,교사들이 궁금해 했던 내용에 대해 알려주는 연수,"요즘 학교 분위기에서 필요성이 커진 연수입니다._x000D_
그런데 정서적 학대라는게 적용되는 범위가  큰만큼_x000D_
듣고 나서도 든든하기 보다는 현장에 대한 막막함을 느끼게 하네요",생활지도,"85,000원",전체대상,1
아이스크림으로 완성하는 에듀테크,15차시,2024-05-24,5,아이스크림 200배 활용하기의 끝판왕!!!,"아이스크림으로 완성하는 에듀테크 수업 뿐아니라 아이스크림이 제공하는 모든 기능을 완벽히 알 수 있는 매우 훌륭한 연수였습니다. 특히 아이스크림에서 제공하는 여러 평가와 띵커벨, 클래스툴의 연동 방법을 알게 되어 매우 유용하게 사용할 것 같습니다.~~ _x000D_
 아이스크림을 사용하는 모든 샘들께 추천합니다!!!",ICT,"50,000원",유초등,1
<허영만의 꼴> 내 삶을 리드하는 관상 활용법,30차시,2024-05-24,5,한방에 끝나는 놀이체육,"학교 현장에서 활용하기에 유익한 연수였습니다._x000D_
감사합니다",자기계발,"85,000원",전체대상,1
"[자율연수] 탤짱쌤의 컴퓨터 활용 꼼수, 이 정도면 나도 스마트",7차시,2024-05-24,5,나도 스마트,사진을 모아 동영상 만드는데 유익했어요,ICT,무료,전체대상,1
하지현의 감정수업,30차시,2024-05-24,5,감정수업,감정수업 도움이 많이 되었어요. 전문가라 정확하고 쉽게 강의해요,생활지도,"85,000원",전체대상,1
소중한 아이들을 위한 행복한 성교육,30차시,2024-05-24,5,성교육,성교육연수 듣고 기존 수업자료를 업그레이드 시켰어요,생활지도,"75,000원",전체대상,1
"공간의 재발견, 정리의 힘",15차시,2024-05-24,5,정리의 힘!,살림을 정리하는데 도움이 되었어요,자기계발,"40,000원",전체대상,1
"질문하는 공부법, 하브루타로 생각하고 실행하기",60차시,2024-05-24,5,"너무 늦게 만난 하브루타지만, 만족합니다. ","솔직히, 이 연수가 꼭 필요해서 시작한 것은 아닙니다. _x000D_
많이들 아시겠지만, 60시간 연수 성적이 필요한 상황이었습니다._x000D_
의무감에서 시작한 연수라 처음에는 솔직히 의무감으로 들었습니다._x000D_
그런데, 60차시의 모든 연수를 듣고 다시 한번 더 들으면서부터는 진작 이 연수를 들었으면 좋았겠구나 하는 아쉬움이 컸습니다. _x000D_
한번의 유행처럼 지나간 하브루타라고 누군가는 이야기를 했지만,_x000D_
하브루타는 한번의 유행이 아니라, 강사님 말씀처럼 삶의 과정이라는 생각이 많이 들었습니다. _x000D_
자잘하게 외워야 할 것들로 조금 신경이 쓰였지만,  외워야 할 양이 그렇게 많지 않아서 아주 수월하게 연수를 잘~ 이수하였습니다. 감사합니다. ",학습지도,"130,000원",전체대상,1
교사를 위한 학생안전길라잡이,15차시,2024-05-24,5,연수 후기,중요한 부분들만을 추려  커리큘럼을 짜주셔서 감사드립니다.~~~,생활지도,"35,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-05-24,5,생각을 꺼내는 교육에 대한 공감,현장에서 수업을 하거나 대화시에도 생각을 꺼내어 대화하는 노력을 해야함을 체감하는 연수였습니다. 아울러 가능한 교육과정에 널리 적요되기를 희망합니다 ,학습지도,"50,000원",전체대상,1
한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,15차시,2024-05-24,5,많은 도움이 되었다,ai를 이해하는데 많은 도움이 되었고 앞으로 펼쳐질 미래가 기대됨,학습지도,"40,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-05-24,5,IB교육을 알고서,기초학력이 중요하며 그위의 학습으로 IB교육을 한다면 우리 학생들의 역량을 더욱 끌어 올릴 것 같다는 생각이 들었습니다.,학습지도,"50,000원",전체대상,1
